market_id,market_ticker,series_ticker,end_period_ts,date_utc,price_open,price_low,price_high,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1720756800,2024-07-12 00:00:00+00:00,0.28,0.28,0.43,0.43,0.3915,0.28,0.35,0.43,269.0,16961.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1720843200,2024-07-13 00:00:00+00:00,0.35,0.35,0.35,0.35,0.35,0.43,0.35,0.43,1.0,16962.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1720929600,2024-07-14 00:00:00+00:00,0.35,0.35,0.35,0.35,0.35,0.35,0.33,0.43,91.0,17053.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721016000,2024-07-15 00:00:00+00:00,0.38,0.38,0.38,0.38,0.38,0.35,0.36,0.43,54.0,17107.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721102400,2024-07-16 00:00:00+00:00,0.43,0.39,0.43,0.43,0.4223,0.38,0.27,0.47,919.0,16952.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721188800,2024-07-17 00:00:00+00:00,0.47,0.45,0.52,0.52,0.4853,0.43,0.27,0.84,1716.0,17676.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721275200,2024-07-18 00:00:00+00:00,0.48,0.43,0.57,0.57,0.4755,0.52,0.27,0.62,955.0,17816.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721361600,2024-07-19 00:00:00+00:00,0.43,0.43,0.54,0.54,0.5163,0.57,0.27,0.55,212.0,17997.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721448000,2024-07-20 00:00:00+00:00,0.54,0.53,0.66,0.63,0.6223,0.54,0.41,0.64,1580.0,18936.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721534400,2024-07-21 00:00:00+00:00,0.61,0.61,0.67,0.66,0.6598,0.63,0.55,0.68,1525.0,20461.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721620800,2024-07-22 00:00:00+00:00,0.65,0.65,0.67,0.67,0.6517,0.66,0.59,0.67,110.0,20462.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721707200,2024-07-23 00:00:00+00:00,0.59,0.55,0.67,0.67,0.5733,0.67,0.65,0.68,605.0,20481.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721793600,2024-07-24 00:00:00+00:00,0.67,0.49,0.67,0.63,0.5361,0.67,0.41,0.67,811.0,20662.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721880000,2024-07-25 00:00:00+00:00,,,,,,0.63,0.41,0.68,0.0,20662.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1721966400,2024-07-26 00:00:00+00:00,0.47,0.47,0.47,0.47,0.47,0.63,0.41,0.68,36.0,20662.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722052800,2024-07-27 00:00:00+00:00,,,,,,0.47,0.44,0.69,0.0,20662.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722139200,2024-07-28 00:00:00+00:00,0.7,0.7,0.7,0.7,0.7,0.47,0.5,0.8,13.0,20675.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722225600,2024-07-29 00:00:00+00:00,,,,,,0.7,0.5,0.78,0.0,20675.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722312000,2024-07-30 00:00:00+00:00,0.66,0.5,0.68,0.5,0.6516,0.7,0.5,0.64,199.0,20859.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722398400,2024-07-31 00:00:00+00:00,0.64,0.51,0.64,0.51,0.5913,0.5,0.5,0.64,24.0,20878.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722484800,2024-08-01 00:00:00+00:00,0.64,0.64,0.64,0.64,0.64,0.51,0.45,0.62,20.0,20898.0
kalshi:BTCMAXY-24DEC31-80000,BTCMAXY-24DEC31-80000,KXBTCMAXY,1722571200,2024-08-02 00:00:00+00:00,,,,,,0.64,0.45,0.57,0.0,20898.0
