market_id,market_ticker,event_ticker,series_ticker,market_question,market_subtitle,yes_subtitle,no_subtitle,market_rules,event_question,event_subtitle,series_title,series_category,series_frequency,market_status,market_result,open_time,close_time,passes_volume_filter,passes_lifetime_filter,passes_both_filters,volume_fp,lifetime_days,history_start_ts,history_end_ts,expected_daily_rows,received_daily_rows,first_observation_ts,last_observation_ts,download_status,actual_candles_exported
kalshi:PAYROLLS-24MAY-T175000,PAYROLLS-24MAY-T175000,PAYROLLS-24MAY,KXPAYROLLS,Will above 175000 jobs be added in May 2024?,"175,000","Above 175,000","175,000 or below","If the increase in total  non-farm payroll employment is above 175000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of May 2024, then the market resolves to Yes.",Jobs numbers in May 2024?,In May 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-05-03T12:31:00Z,2024-06-07T12:25:00Z,1,1,1,39838.0,34.99583333333333,1714739460,1717763100,36,25,1714795200.0,1717732800.0,success,25
kalshi:PAYROLLS-24MAY-T200000,PAYROLLS-24MAY-T200000,PAYROLLS-24MAY,KXPAYROLLS,Will above 200000 jobs be added in May 2024?,"200,000","Above 200,000","200,000 or below","If the increase in total  non-farm payroll employment is above 200000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of May 2024, then the market resolves to Yes.",Jobs numbers in May 2024?,In May 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-04-19T14:00:00Z,2024-06-07T12:25:00Z,1,1,1,44953.0,48.93402777777778,1713535200,1717763100,50,29,1713844800.0,1717732800.0,success,29
kalshi:PAYROLLS-24OCT-T100000,PAYROLLS-24OCT-T100000,PAYROLLS-24OCT,KXPAYROLLS,Will above 100000 jobs be added in October 2024?,"100,000","Above 100,000","Above 100,000","If the increase in total non-farm payroll employment is above 100000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of October 2024, then the market resolves to Yes.",Jobs numbers in Oct 2024?,In Oct 2024,Jobs numbers,Economics,monthly,finalized,no,2024-09-20T14:00:00Z,2024-11-01T12:25:00Z,1,1,1,15766.0,41.93402777777778,1726840800,1730463900,43,27,1727582400.0,1730433600.0,success,27
kalshi:PAYROLLS-24OCT-T150000,PAYROLLS-24OCT-T150000,PAYROLLS-24OCT,KXPAYROLLS,Will above 150000 jobs be added in October 2024?,"150,000","Above 150,000","Above 150,000","If the increase in total non-farm payroll employment is above 150000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of October 2024, then the market resolves to Yes.",Jobs numbers in Oct 2024?,In Oct 2024,Jobs numbers,Economics,monthly,finalized,no,2024-09-20T14:00:00Z,2024-11-01T12:25:00Z,1,1,1,14291.0,41.93402777777778,1726840800,1730463900,43,31,1727409600.0,1730433600.0,success,31
kalshi:PAYROLLS-24OCT-T250000,PAYROLLS-24OCT-T250000,PAYROLLS-24OCT,KXPAYROLLS,Will above 250000 jobs be added in October 2024?,"250,000","Above 250,000","Above 250,000","If the increase in total non-farm payroll employment is above 250000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of October 2024, then the market resolves to Yes.",Jobs numbers in Oct 2024?,In Oct 2024,Jobs numbers,Economics,monthly,finalized,no,2024-09-20T14:00:00Z,2024-11-01T12:25:00Z,1,1,1,11868.0,41.93402777777778,1726840800,1730463900,43,27,1727582400.0,1730433600.0,success,27
kalshi:PAYROLLS-24SEP-T100000,PAYROLLS-24SEP-T100000,PAYROLLS-24SEP,KXPAYROLLS,Will above 100000 jobs be added in September 2024?,"100,000","Above 100,000","Above 100,000","If the increase in total non-farm payroll employment is above 100000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of September 2024, then the market resolves to Yes.",Jobs numbers in Sep 2024?,In Sep 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-08-23T14:00:00Z,2024-10-04T12:25:00Z,1,1,1,19977.0,41.93402777777778,1724421600,1728044700,43,26,1725595200.0,1728014400.0,success,26
kalshi:PAYROLLS-24SEP-T142000,PAYROLLS-24SEP-T142000,PAYROLLS-24SEP,KXPAYROLLS,Will above 142000 jobs be added in September 2024?,"142,000","Above 142,000","Above 142,000","If the increase in total non-farm payroll employment is above 142000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of September 2024, then the market resolves to Yes.",Jobs numbers in Sep 2024?,In Sep 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-09-06T12:32:00Z,2024-10-04T12:25:00Z,1,1,1,11637.0,27.99513888888889,1725625920,1728044700,29,26,1725681600.0,1728014400.0,success,26
kalshi:PAYROLLS-24SEP-T150000,PAYROLLS-24SEP-T150000,PAYROLLS-24SEP,KXPAYROLLS,Will above 150000 jobs be added in September 2024?,"150,000","Above 150,000","Above 150,000","If the increase in total non-farm payroll employment is above 150000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of September 2024, then the market resolves to Yes.",Jobs numbers in Sep 2024?,In Sep 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-08-23T14:00:00Z,2024-10-04T12:25:00Z,1,1,1,15866.0,41.93402777777778,1724421600,1728044700,43,21,1725595200.0,1728014400.0,success,21
kalshi:PAYROLLS-24SEP-T200000,PAYROLLS-24SEP-T200000,PAYROLLS-24SEP,KXPAYROLLS,Will above 200000 jobs be added in September 2024?,"200,000","Above 200,000","Above 200,000","If the increase in total non-farm payroll employment is above 200000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of September 2024, then the market resolves to Yes.",Jobs numbers in Sep 2024?,In Sep 2024,Jobs numbers,Economics,monthly,finalized,yes,2024-08-23T14:00:00Z,2024-10-04T12:25:00Z,1,1,1,12581.0,41.93402777777778,1724421600,1728044700,43,25,1725595200.0,1728014400.0,success,25
kalshi:PLEAVELAW-22MAR31,PLEAVELAW-22MAR31,PLEAVELAW,KXPLEAVELAW,Will a bill enacting **paid parental leave** become law by the end of March?,"By March 31, 2022",Becomes law,Fails to become law,"If a bill enacting paid parental leave becomes law between Issuance and March 31, 2022, then the market resolves to Yes.",Parental leave bill passage?,,Parental leave bill passage,Politics,one_off,finalized,no,2021-12-20T15:00:00Z,2022-03-31T14:00:00Z,1,1,1,12505.0,100.95833333333333,1640012400,1648735200,102,98,1640062800.0,1648699200.0,success,98
kalshi:PREK-21NOV08,PREK-21NOV08,PREK-21NOV08,KXPREK,"Will Pre-K be made universal before November 8, 2021?","Before Nov 8, 2021","Becomes law Before Nov 8, 2021","Fails to become law Before Nov 8, 2021","If a Bill becomes law after Issuance and before November 8, 2021 that includes text that provides funding or grants to permit any 3 or 4-year old US citizen to attend a public pre-Kindergarten program, then the market resolves to Yes.",Universal Pre-K becomes law?,,Universal Pre-K becomes law,World,custom,finalized,no,2021-09-17T17:00:00Z,2021-11-10T15:00:00Z,1,1,1,15835.0,53.916666666666664,1631898000,1636556400,55,53,1631937600.0,1636520400.0,success,53
kalshi:PROLLS-22NOV-B150000,PROLLS-22NOV-B150000,PROLLS-22NOV,KXPROLLS,Will between 100000 and 199999 jobs be added in November?,"100,000 to 199,999",100000 to 199999,Outside 100000 to 199999,"If the signed change in total non-farm payroll employment is between 100000 and 199999 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report in the month of November 2022, then the market resolves to Yes.",Jobs numbers in November?,In November,Jobs numbers,Economics,monthly,finalized,no,2022-11-04T14:00:00Z,2022-12-02T13:25:00Z,1,1,1,13254.0,27.975694444444443,1667570400,1669987500,29,19,1667620800.0,1669957200.0,success,19
kalshi:PROLLS-22NOV-B250000,PROLLS-22NOV-B250000,PROLLS-22NOV,KXPROLLS,Will between 200000 and 299999 jobs be added in November?,"200,000 to 299,999",200000 to 299999,Outside 200000 to 299999,"If the signed change in total non-farm payroll employment is between 200000 and 299999 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report in the month of November 2022, then the market resolves to Yes.",Jobs numbers in November?,In November,Jobs numbers,Economics,monthly,finalized,yes,2022-11-04T14:00:00Z,2022-12-02T13:25:00Z,1,1,1,21704.0,27.975694444444443,1667570400,1669987500,29,23,1667620800.0,1669957200.0,success,23
kalshi:PROLLS-22OCT-B150,PROLLS-22OCT-B150,PROLLS-22OCT,KXPROLLS,Will between 100000 and 199999 jobs be added in October?,100000-199999,100000 to 199999,Outside 100000 to 199999,"If the signed change in total nonfarm payroll employment reported by the Bureau of Labor Statistics (“BLS”) Monthly Employment Situation Report for October 2022 is between 100000 and 199999, then the market resolves to Yes.",Jobs numbers in October?,In October,Jobs numbers,Economics,monthly,finalized,no,2022-10-07T14:00:00Z,2022-11-04T12:25:00Z,1,1,1,10586.0,27.93402777777778,1665151200,1667564700,29,25,1665201600.0,1667534400.0,success,25
kalshi:PROLLS-23APR-T0,PROLLS-23APR-T0,PROLLS-23APR,KXPAYROLLS,Will above 0 jobs be added in April 2023?,1 or above,0,0 or below,"If the increase in total non-farm payroll employment is above 0 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of April 2023, then the market resolves to Yes.",Jobs numbers in Apr 2023?,In Apr 2023,Jobs numbers,Economics,monthly,finalized,yes,2023-04-07T14:00:00Z,2023-05-05T12:25:00Z,1,1,1,30674.0,27.93402777777778,1680876000,1683289500,29,20,1680926400.0,1683259200.0,success,20
kalshi:PROLLS-23APR-T100000,PROLLS-23APR-T100000,PROLLS-23APR,KXPAYROLLS,Will above 100000 jobs be added in April 2023?,"100,001 or above","100,000","100,000 or below","If the increase in total non-farm payroll employment is above 100000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of April 2023, then the market resolves to Yes.",Jobs numbers in Apr 2023?,In Apr 2023,Jobs numbers,Economics,monthly,finalized,yes,2023-04-07T14:00:00Z,2023-05-05T12:25:00Z,1,1,1,10912.0,27.93402777777778,1680876000,1683289500,29,24,1680926400.0,1683259200.0,success,24
kalshi:PROLLS-23APR-T200000,PROLLS-23APR-T200000,PROLLS-23APR,KXPAYROLLS,Will above 200000 jobs be added in April 2023?,"200,001 or above","200,000","200,000 or below","If the increase in total non-farm payroll employment is above 200000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of April 2023, then the market resolves to Yes.",Jobs numbers in Apr 2023?,In Apr 2023,Jobs numbers,Economics,monthly,finalized,yes,2023-04-07T14:00:00Z,2023-05-05T12:25:00Z,1,1,1,28056.0,27.93402777777778,1680876000,1683289500,29,25,1680926400.0,1683259200.0,success,25
kalshi:PROLLS-23AUG-T100000,PROLLS-23AUG-T100000,PROLLS-23AUG,KXPAYROLLS,Will above 100000 jobs be added in August 2023?,"100,001 or above","100,000","100,000 or below","If the increase in total non-farm payroll employment is above 100000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of August 2023, then the market resolves to Yes.",Jobs numbers in Aug 2023?,In Aug 2023,Jobs numbers,Economics,monthly,finalized,yes,2023-06-07T14:00:00Z,2023-09-01T12:25:00Z,1,1,1,24376.0,85.93402777777777,1686146400,1693571100,87,30,1688788800.0,1693540800.0,success,30
kalshi:PROLLS-23AUG-T200000,PROLLS-23AUG-T200000,PROLLS-23AUG,KXPAYROLLS,Will above 200000 jobs be added in August 2023?,"200,001 or above","200,000","200,000 or below","If the increase in total non-farm payroll employment is above 200000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of August 2023, then the market resolves to Yes.",Jobs numbers in Aug 2023?,In Aug 2023,Jobs numbers,Economics,monthly,finalized,no,2023-06-07T14:00:00Z,2023-09-01T12:25:00Z,1,1,1,11157.0,85.93402777777777,1686146400,1693571100,87,32,1688788800.0,1693540800.0,success,32
kalshi:PROLLS-23AUG-T400000,PROLLS-23AUG-T400000,PROLLS-23AUG,KXPAYROLLS,Will above 400000 jobs be added in August 2023?,"400,001 or above","400,000","400,000 or below","If the increase in total non-farm payroll employment is above 400000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of August 2023, then the market resolves to Yes.",Jobs numbers in Aug 2023?,In Aug 2023,Jobs numbers,Economics,monthly,finalized,no,2023-06-07T14:00:00Z,2023-09-01T12:25:00Z,1,1,1,22259.0,85.93402777777777,1686146400,1693571100,87,18,1690430400.0,1693454400.0,success,18
kalshi:PROLLS-23DEC-T0,PROLLS-23DEC-T0,PROLLS-23DECB,KXPAYROLLS,Will above 0 jobs be added in December 2023?,1 or above,0,0 or below,"If the increase in total  non-farm payroll employment is above 0 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of December 2023, then the market resolves to Yes.",Jobs numbers in Dec 2023?,In Dec 2023,Jobs numbers,Economics,monthly,finalized,yes,2023-12-08T15:05:00Z,2024-01-05T13:25:00Z,1,1,1,16571.0,27.930555555555557,1702047900,1704461100,29,15,1702098000.0,1704430800.0,success,15
kalshi:PROLLS-23DEC-T300000,PROLLS-23DEC-T300000,PROLLS-23DECB,KXPAYROLLS,Will above 300000 jobs be added in December 2023?,"300,001 or above","300,000","300,000 or below","If the increase in total  non-farm payroll employment is above 300000 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of December 2023, then the market resolves to Yes.",Jobs numbers in Dec 2023?,In Dec 2023,Jobs numbers,Economics,monthly,finalized,no,2023-12-08T15:05:00Z,2024-01-05T13:25:00Z,1,1,1,31233.0,27.930555555555557,1702047900,1704461100,29,15,1702098000.0,1704430800.0,success,15
kalshi:PROLLS-23FEB-B275000,PROLLS-23FEB-B275000,PROLLS-23FEB,KXPROLLS,Will between 250000 and 299999 jobs be added in February 2023?,"250,000 to 299,999","250,000 to 299,999","Outside 250,000 to 299,999","If the increase in total non-farm payroll employment is between 250000 and 299999 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of February 2023, then the market resolves to Yes.",Jobs numbers in Feb 2023?,In Feb 2023,Jobs numbers,Economics,monthly,finalized,no,2023-02-03T15:00:00Z,2023-03-10T13:25:00Z,1,1,1,10602.0,34.93402777777778,1675436400,1678454700,36,23,1675486800.0,1678424400.0,success,23
kalshi:PROLLS-23JAN-B325000,PROLLS-23JAN-B325000,PROLLS-23JAN,KXPROLLS,Will between 300000 and 349999 jobs be added in January 2023?,"300,000 to 349,999","300,000 to 349,999","Outside 300,000 to 349,999","If the increase in total non-farm payroll employment is between 300000 and 349999 as reported by the Bureau of Labor Statistics Monthly Employment Situation Report for the month of January 2023, then the market resolves to Yes.",Jobs numbers in January 2023?,In January 2023,Jobs numbers,Economics,monthly,finalized,no,2023-01-06T15:00:00Z,2023-02-03T13:25:00Z,1,1,1,14422.0,27.93402777777778,1673017200,1675430700,29,14,1673067600.0,1675400400.0,success,14
